Abbreviation,FactorName,FactorCategory,DonorHb_Cat,Base_Pre,Base_Pre_SE,Full_Pre,Full_Pre_SE,Base_Post,Base_Post_SE,Full_Post,Full_Post_SE,Base_Diff,Base_Diff_SE,Base_Diff_LCL,Base_Diff_UCL,Full_Diff,Full_Diff_SE,Full_Diff_LCL,Full_Diff_UCL,Storage_Cat,DonorSex,DonorParity,wdy_donation
Hjärtfrekv,DonorSex,1,,87.80037486,0.4413696394,87.76007439,0.4400610216,86.901968868,0.4413678348,86.836797793,0.4400690841,-0.898405992,0.624189654,-2.121817714,0.3250057297,-0.923276597,0.6223459661,-2.14307469,0.2965214966,,1,,
Hjärtfrekv,DonorSex,2,,87.975050343,0.4413843203,87.929355564,0.4400754635,87.076644351,0.441382173,87.006078968,0.4400831543,-0.898405992,0.6242101736,-2.121857932,0.3250459481,-0.923276597,0.6223661272,-2.143114206,0.2965610123,,2,,
Hjärtfrekv,DonorParity,0,,87.800629496,0.4413277879,87.758194268,0.4400253738,86.905208479,0.4413259146,86.83779879,0.4400334157,-0.895421017,0.6241304185,-2.118716638,0.3278746029,-0.920395479,0.6222955379,-2.140094733,0.2993037758,,,0,
Hjärtfrekv,DonorParity,1,,88.003477507,0.4413946448,87.953549624,0.4400906626,87.10805649,0.4413924724,87.033154145,0.4400982475,-0.895421017,0.624224757,-2.118901541,0.3280595063,-0.920395479,0.6223875471,-2.140275071,0.2994841138,,,1,
Hjärtfrekv,wdy_donation,1,,112.48517045,0.7678038737,112.70181398,0.76613235,111.59048822,0.7678076747,111.78199099,0.7661400816,-0.894682228,1.0858413391,-3.022931252,1.2335667969,-0.919822988,1.083480227,-3.043444233,1.2037982565,,,,1
Hjärtfrekv,wdy_donation,2,,87.684934923,0.441729757,87.624323022,0.4404441642,86.790252695,0.4417276571,86.704500033,0.4404519416,-0.894682228,0.6246987284,-2.119091735,0.32972728,-0.919822988,0.62288761,-2.140682704,0.3010367272,,,,2
Hjärtfrekv,wdy_donation,3,,87.421368212,0.4417308956,87.373082264,0.4404458187,86.526685984,0.4417287575,86.453259276,0.4404535785,-0.894682228,0.6247003116,-2.119094838,0.329730383,-0.919822988,0.6228899373,-2.140687266,0.3010412887,,,,3
Hjärtfrekv,wdy_donation,4,,87.963084208,0.4417022831,87.921394761,0.4404184207,87.068401981,0.4417004097,87.001571772,0.4404264411,-0.894682228,0.6246600346,-2.119015896,0.32965144,-0.919822988,0.622851375,-2.140611683,0.3009657065,,,,4
Hjärtfrekv,wdy_donation,5,,88.575805934,0.4417675061,88.551630916,0.440487809,87.681123706,0.4417655984,87.631807928,0.4404957351,-0.894682228,0.6247522496,-2.119196637,0.3298321815,-0.919822988,0.6229494382,-2.140803887,0.3011579104,,,,5
Hjärtfrekv,wdy_donation,6,,87.835270422,0.4420277884,87.84481671,0.440738708,86.940588194,0.442026077,86.924993721,0.440746372,-0.894682228,0.6251204832,-2.119918375,0.3305539193,-0.919822988,0.6233040776,-2.141498981,0.3018530036,,,,6
Hjärtfrekv,wdy_donation,7,,87.511801351,0.4422871773,87.486831193,0.4410172704,86.617119123,0.4422857053,86.567008204,0.4410261323,-0.894682228,0.6254874838,-2.120637696,0.3312732404,-0.919822988,0.6236988714,-2.142272776,0.3026267994,,,,7
FIO2(u),DonorHb_Cat,1,1,37.68322952,0.4590378456,38.028122004,0.4574211529,37.934236681,0.459031339,38.238669898,0.457428308,0.2510071613,0.6491729461,-1.021371813,1.5233861356,0.2105478935,0.6468962576,-1.057368771,1.4784645583,,,,
FIO2(u),DonorHb_Cat,2,2,37.360472369,0.4583200217,37.694616049,0.4566969585,37.61147953,0.4583130311,37.905163943,0.4567032149,0.2510071613,0.6481574476,-1.019381436,1.5213957585,0.2105478935,0.6458714565,-1.055360161,1.4764559482,,,,
FIO2(u),DonorHb_Cat,3,3,37.044188862,0.4583022489,37.372498512,0.4566806501,37.295196024,0.4582958126,37.583046405,0.4566875433,0.2510071613,0.6481327049,-1.01933294,1.5213472629,0.2105478935,0.6458488433,-1.055315839,1.4764116264,,,,
FIO2(u),DonorHb_Cat,4,4,37.135196169,0.4584871346,37.49045536,0.4568683887,37.38620333,0.4584803719,37.701003253,0.4568750599,0.2510071613,0.648393942,-1.019844965,1.5218592877,0.2105478935,0.6461141888,-1.055835917,1.4769317036,,,,
FIO2(u),DonorHb_Cat,5,5,38.334615737,0.4629827322,38.7079598,0.4613459984,38.585622898,0.4629766206,38.918507694,0.4613532888,0.2510071613,0.6547521374,-1.032307028,1.5343213507,0.2105478935,0.652446923,-1.068248076,1.4893438626,,,,
FIO2(u),Storage_Cat,1,,37.220264373,0.4683518927,37.048281214,0.4648204492,37.450909739,0.4683457618,37.228860681,0.4648283565,0.2306453654,0.6623452634,-1.067551351,1.5288420816,0.1805794677,0.6573609746,-1.107848043,1.4690069779,1,,,
FIO2(u),Storage_Cat,2,,37.351668262,0.4680536887,37.302990797,0.4645178164,37.582313627,0.4680471531,37.483570265,0.4645251114,0.2306453654,0.6619232531,-1.066724211,1.5280149415,0.1805794677,0.6569325543,-1.107008339,1.4681672741,2,,,
FIO2(u),Storage_Cat,3,,37.382406277,0.4681589813,37.394977726,0.464623711,37.613051643,0.4681525122,37.575557194,0.4646309865,0.2306453654,0.6620722064,-1.067016159,1.5283068899,0.1805794677,0.6570822981,-1.107301837,1.4684607719,3,,,
FIO2(u),Storage_Cat,4,,37.414921187,0.468582563,37.233351206,0.4650367053,37.645566553,0.4685752214,37.413930674,0.4650428513,0.2306453654,0.6626706244,-1.068189058,1.5294797892,0.1805794677,0.6576655615,-1.108445033,1.4696039683,4,,,
FIO2(u),Storage_Cat,5,,35.621816183,0.470309954,35.620064783,0.4667517122,35.852461548,0.4703047502,35.800644251,0.4667593397,0.2306453654,0.6651150359,-1.072980105,1.5342708357,0.1805794677,0.6600919951,-1.113200843,1.4743597781,5,,,
FIO2(u),DonorSex,1,,37.140717917,0.4586680317,37.466992726,0.456938741,37.38721941,0.4586619898,37.673895026,0.4569457916,0.2465014939,0.6486502788,-1.024853053,1.5178560404,0.2069022996,0.6462139502,-1.059677043,1.473481642,,1,,
FIO2(u),DonorSex,2,,37.400122426,0.4586834754,37.736483973,0.4569525126,37.64662392,0.4586770116,37.943386272,0.4569590453,0.2465014939,0.6486718212,-1.024895276,1.5178982634,0.2069022996,0.64623306,-1.059714498,1.4735190973,,2,,
FIO2(u),DonorParity,0,,37.156660453,0.4586482554,37.480238044,0.4569279156,37.404235396,0.4586422707,37.687825174,0.4569350302,0.2475749435,0.6486223514,-1.023724865,1.5188747522,0.2075871294,0.6461986861,-1.058962295,1.4741365542,,,0,
FIO2(u),DonorParity,1,,37.480529447,0.4587085737,37.814751277,0.4569867091,37.728104391,0.4587017531,38.022338407,0.4569928843,0.2475749435,0.6487070632,-1.0238909,1.5190407874,0.2075871294,0.6462811683,-1.059123961,1.4742982193,,,1,
FIO2(u),wdy_donation,1,,27.642467968,0.8341293618,27.846267373,0.8306492934,27.891972517,0.8341442676,28.055361679,0.83066925,0.2495045498,1.1796475963,-2.062604739,2.5616138385,0.2090943054,1.1747296078,-2.093375726,2.5115643367,,,,1
FIO2(u),wdy_donation,2,,37.484619464,0.4586979046,37.793084172,0.4570446853,37.734124014,0.45869146,38.002178477,0.4570512832,0.2495045498,0.6486922408,-1.021932242,1.5209413417,0.2090943054,0.646363458,-1.057778072,1.475966683,,,,2
FIO2(u),wdy_donation,3,,36.63285741,0.4587042893,36.959501591,0.4570532931,36.882361959,0.4586976865,37.168595896,0.4570598311,0.2495045498,0.6487011582,-1.02194972,1.5209588198,0.2090943054,0.646375589,-1.057801849,1.4759904597,,,,3
FIO2(u),wdy_donation,4,,37.086830847,0.4586744597,37.398197273,0.4570214724,37.336335397,0.4586684314,37.607291578,0.4570284597,0.2495045498,0.648659379,-1.021867833,1.5208769327,0.2090943054,0.6463309053,-1.057714269,1.4759028798,,,,4
FIO2(u),wdy_donation,5,,37.714305517,0.4587354753,38.033274613,0.4570864934,37.963810067,0.4587295233,38.242368918,0.4570936978,0.2495045498,0.648745722,-1.022037065,1.521046165,0.2090943054,0.6464230124,-1.057894799,1.4760834097,,,,5
FIO2(u),wdy_donation,6,,37.961955103,0.4589606874,38.317022734,0.4572985085,38.211459653,0.4589549145,38.52611704,0.4573052404,0.2495045498,0.6490643467,-1.02266157,1.5216706693,0.2090943054,0.646722513,-1.05848182,1.4766704308,,,,6
FIO2(u),wdy_donation,7,,37.00018761,0.4592015648,37.331394456,0.4575600285,37.24969216,0.4591954237,37.540488761,0.4575675311,0.2495045498,0.6494047384,-1.023328737,1.522337837,0.2090943054,0.6470929031,-1.059207785,1.4773963954,,,,7
SpO2,DonorHb_Cat,1,1,95.328413788,0.0873921856,95.384475325,0.0873789078,95.453687764,0.087391783,95.506784138,0.0873811488,0.1252739759,0.1235909294,-0.116964246,0.3675121976,0.1223088134,0.1235740211,-0.119896268,0.3645138948,,,,
SpO2,DonorHb_Cat,2,2,95.424796062,0.0871799013,95.477688335,0.0871656789,95.550070038,0.0871792217,95.599997149,0.0871676268,0.1252739759,0.1232905183,-0.11637544,0.3669233917,0.1223088134,0.1232722627,-0.119304821,0.3639224482,,,,
SpO2,DonorHb_Cat,3,3,95.448209709,0.0871760602,95.501986833,0.0871620136,95.573483685,0.0871754896,95.624295647,0.0871640761,0.1252739759,0.1232851632,-0.116364944,0.3669128957,0.1223088134,0.1232671602,-0.119294821,0.3639124473,,,,
SpO2,DonorHb_Cat,4,4,95.379148345,0.0872283283,95.433892078,0.0872151251,95.504422321,0.0872276143,95.556200892,0.0872170504,0.1252739759,0.12335898,-0.116509625,0.3670575767,0.1223088134,0.1233421742,-0.119441848,0.3640594747,,,,
SpO2,DonorHb_Cat,5,5,95.48817365,0.08850686,95.508548787,0.0884906582,95.613447626,0.0885064499,95.630857601,0.0884929652,0.1252739759,0.1251673118,-0.120053955,0.370601907,0.1223088134,0.1251463203,-0.122977974,0.3675956011,,,,
SpO2,Storage_Cat,1,,95.393772412,0.0897980213,95.489231697,0.0896113525,95.518803592,0.0897977176,95.609893766,0.0896136546,0.1250311798,0.1269933648,-0.123875815,0.3739381749,0.1206620692,0.1267312179,-0.127731118,0.3690552562,1,,,
SpO2,Storage_Cat,2,,95.414153157,0.0897115449,95.504526533,0.0895234226,95.539184337,0.0897110575,95.625188602,0.0895254973,0.1250311798,0.1268709388,-0.12363586,0.3736982199,0.1206620692,0.1266067055,-0.127487074,0.3688112119,2,,,
SpO2,Storage_Cat,3,,95.453149377,0.0897423197,95.541767,0.089555182,95.578180557,0.089741764,95.662429069,0.0895571569,0.1250311798,0.1269144127,-0.123721069,0.3737834286,0.1206620692,0.1266515495,-0.127574968,0.3688991062,3,,,
SpO2,Storage_Cat,4,,95.375447008,0.0898695661,95.474274892,0.08967922,95.500478188,0.0898690742,95.594936962,0.0896812284,0.1250311798,0.1270944114,-0.124073867,0.3741362262,0.1206620692,0.1268269894,-0.12791883,0.3692429683,4,,,
SpO2,Storage_Cat,5,,95.43948454,0.0904139618,95.528396442,0.0902243888,95.56451572,0.0904136448,95.649058511,0.0902264619,0.1250311798,0.1278644268,-0.125583097,0.3756454563,0.1206620692,0.1275980202,-0.12943005,0.3707541887,5,,,
SpO2,DonorSex,1,,95.434256254,0.0880439183,95.479657202,0.0880245757,95.561093637,0.0880434396,95.603135373,0.0880266503,0.1268373834,0.1245125649,-0.117207244,0.3708820106,0.1234781712,0.1244870158,-0.12051638,0.3674727222,,1,,
SpO2,DonorSex,2,,95.440319013,0.0880478603,95.488117824,0.0880283434,95.567156396,0.0880472928,95.611595995,0.0880303167,0.1268373834,0.1245180769,-0.117218047,0.3708928141,0.1234781712,0.1244922724,-0.120526683,0.3674830251,,2,,
SpO2,DonorParity,0,,95.436019795,0.0880307376,95.481839337,0.0880107585,95.562850765,0.0880302313,95.605300538,0.088012815,0.1268309699,0.124493905,-0.117177084,0.3708390237,0.1234612007,0.1244674625,-0.120495026,0.3674174272,,,0,
SpO2,DonorParity,1,,95.445238749,0.0880479706,95.49621628,0.0880275226,95.572069719,0.0880474232,95.619677481,0.0880294941,0.1268309699,0.1245182471,-0.117224794,0.3708867343,0.1234612007,0.1244911104,-0.120541376,0.367463777,,,1,
SpO2,wdy_donation,1,,95.707549416,0.1654880622,95.714152549,0.16533799,95.834382242,0.1654888225,95.837633807,0.1653397167,0.126832826,0.2340359996,-0.331877733,0.5855433852,0.1234812588,0.2338244488,-0.334814661,0.5817771783,,,,1
SpO2,wdy_donation,2,,95.3601229,0.0880553501,95.410130659,0.0880365247,95.486955726,0.0880548015,95.533611917,0.0880385238,0.126832826,0.1245286825,-0.117243392,0.3709090436,0.1234812588,0.1245038608,-0.120546308,0.3675088259,,,,2
SpO2,wdy_donation,3,,95.489843567,0.0880552798,95.53709586,0.0880366506,95.616676393,0.0880546875,95.660577119,0.0880386206,0.126832826,0.1245285521,-0.117243136,0.3709087882,0.1234812588,0.1245040182,-0.120546617,0.3675091345,,,,3
SpO2,wdy_donation,4,,95.458008784,0.088048248,95.503497704,0.0880299877,95.58484161,0.0880477701,95.626978962,0.0880320762,0.126832826,0.1245186885,-0.117223803,0.3708894555,0.1234812588,0.1244946793,-0.120528313,0.3674908302,,,,4
SpO2,wdy_donation,5,,95.439666164,0.088064656,95.488519364,0.088047348,95.56649899,0.0880641954,95.612000623,0.0880494292,0.126832826,0.1245419052,-0.117269308,0.3709349601,0.1234812588,0.1245192253,-0.120576423,0.3675389404,,,,5
SpO2,wdy_donation,6,,95.450215592,0.088130096,95.498451138,0.0881104281,95.577048418,0.0881295922,95.621932397,0.088112353,0.126832826,0.1246344208,-0.117450639,0.3711162907,0.1234812588,0.1246083235,-0.120751055,0.3677135729,,,,6
SpO2,wdy_donation,7,,95.450209221,0.0881979824,95.494026659,0.0881831675,95.577042047,0.0881975074,95.617507917,0.0881853682,0.126832826,0.124730447,-0.11763885,0.371304502,0.1234812588,0.1247113876,-0.120953061,0.3679155785,,,,7
VE(u),DonorHb_Cat,1,1,14.301545646,0.34262706,13.472167355,0.3406584156,14.361803866,0.3426269289,13.495888281,0.3406669321,0.0602582209,0.4845477423,-0.889455354,1.0099717959,0.0237209258,0.4817697736,-0.92054783,0.967989682,,,,
VE(u),DonorHb_Cat,2,2,14.857569042,0.3421198615,14.056549122,0.3401459229,14.917827262,0.3421194403,14.080270048,0.3401538954,0.0602582209,0.4838302503,-0.88804907,1.0085655115,0.0237209258,0.4810446148,-0.919126519,0.9665683708,,,,
VE(u),DonorHb_Cat,3,3,14.526506684,0.3421089628,13.722764166,0.3401353602,14.586764905,0.342108855,13.746485092,0.3401436989,0.0602582209,0.4838150588,-0.888019294,1.0085357361,0.0237209258,0.4810299358,-0.919097748,0.9665396,,,,
VE(u),DonorHb_Cat,4,4,14.571074307,0.3422463746,13.750246972,0.3402761278,14.631332528,0.3422461054,13.773967897,0.3402844033,0.0602582209,0.4840092743,-0.888399957,1.0089163984,0.0237209258,0.4812289665,-0.919487849,0.9669297002,,,,
VE(u),DonorHb_Cat,5,5,14.818466445,0.3453756858,14.012982497,0.3434110832,14.878724666,0.3453765338,14.036703423,0.3434204543,0.0602582209,0.4884355787,-0.897075513,1.017591955,0.0237209258,0.4856632377,-0.92817902,0.9756208717,,,,
VE(u),Storage_Cat,1,,15.066812128,0.3503501408,14.28910355,0.3480165945,15.097056985,0.350350817,14.289439171,0.3480262288,0.0302448567,0.4954703989,-0.940877125,1.0013668385,0.0003356212,0.4921766004,-0.964330516,0.965001758,1,,,
VE(u),Storage_Cat,2,,14.900077232,0.3501297354,14.138655682,0.3477923646,14.930322088,0.3501298305,14.138991303,0.3478012657,0.0302448567,0.4951582876,-0.940265387,1.0007551005,0.0003356212,0.491858973,-0.963707966,0.9643792082,2,,,
VE(u),Storage_Cat,3,,14.76616794,0.3502117451,13.986838829,0.3478743305,14.796412797,0.3502121748,13.987174451,0.347883494,0.0302448567,0.4952745035,-0.94049317,1.0009828835,0.0003356212,0.4919750758,-0.963935527,0.9646067698,3,,,
VE(u),Storage_Cat,4,,15.128238538,0.3505105959,14.403549828,0.3481694223,15.158483394,0.350510178,14.403885449,0.3481775684,0.0302448567,0.495696543,-0.941320368,1.001810081,0.0003356212,0.4923916792,-0.96475207,0.9654233124,4,,,
VE(u),Storage_Cat,5,,14.717141329,0.351748364,13.967957463,0.349407086,14.747386185,0.3517485563,13.968293084,0.3494155733,0.0302448567,0.4974474429,-0.944752131,1.0052418448,0.0003356212,0.4941422412,-0.968183172,0.968854414,5,,,
VE(u),DonorSex,1,,14.90797106,0.3489573209,14.082488338,0.3467543465,14.959186328,0.3489575058,14.097289455,0.3467628872,0.0512152682,0.4935003066,-0.916045333,1.0184758692,0.0148011169,0.4903907388,-0.946364731,0.9759669651,,1,,
VE(u),DonorSex,2,,15.172584781,0.3489656951,14.340806414,0.3467623352,15.223800049,0.3489655142,14.355607531,0.3467704622,0.0512152682,0.4935118909,-0.916068038,1.0184985745,0.0148011169,0.490401744,-0.946386301,0.9759885352,,2,,
VE(u),DonorParity,0,,14.979365577,0.3490904104,14.149594307,0.3468738734,15.030972835,0.3490906079,14.164703094,0.3468824339,0.0516072587,0.4936885325,-0.916022265,1.0192367824,0.0151087877,0.4905597894,-0.9463884,0.9766059749,,,0,
VE(u),DonorParity,1,,15.154843,0.3491321662,14.320374347,0.3469148604,15.206450259,0.3491317517,14.335483135,0.3469227425,0.0516072587,0.4937471514,-0.916137158,1.0193516754,0.0151087877,0.4906172741,-0.946501069,0.9767186449,,,1,
VE(u),wdy_donation,1,,15.588147844,0.6197625817,15.08828858,0.6174296148,15.641057531,0.6197756424,15.104818363,0.6174458263,0.0529096871,0.8764858839,-1.665002645,1.7708220195,0.0165297825,0.8731887984,-1.694920262,1.7279798273,,,,1
VE(u),wdy_donation,2,,14.702827321,0.3491198707,13.886807823,0.3469076879,14.755737008,0.3491196967,13.903337605,0.3469157999,0.0529096871,0.493729933,-0.914800982,1.0206203558,0.0165297825,0.4906072932,-0.945060512,0.9781200771,,,,2
VE(u),wdy_donation,3,,14.99082592,0.3491294928,14.166866579,0.3469201272,15.043735608,0.3491291722,14.183396361,0.3469282377,0.0529096871,0.4937434371,-0.914827449,1.0206468238,0.0165297825,0.490624884,-0.94509499,0.978154555,,,,3
VE(u),wdy_donation,4,,15.053859685,0.3491067042,14.232875902,0.346895128,15.106769373,0.3491069807,14.249405685,0.3469037247,0.0529096871,0.4937116313,-0.91476511,1.0205844845,0.0165297825,0.4905898736,-0.94502637,0.9780859347,,,,4
VE(u),wdy_donation,5,,15.159756909,0.3491510612,14.319516321,0.3469417697,15.212666597,0.3491511034,14.336046104,0.3469502117,0.0529096871,0.4937741959,-0.914887737,1.020707111,0.0165297825,0.4906557255,-0.94515544,0.9782150045,,,,5
VE(u),wdy_donation,6,,15.454899628,0.3493116417,14.626179095,0.3470964081,15.507809315,0.3493120251,14.642708878,0.3471047796,0.0529096871,0.4940015323,-0.915333316,1.0211526904,0.0165297825,0.4908743674,-0.945583978,0.9786435426,,,,6
VE(u),wdy_donation,7,,15.527005788,0.3494898246,14.650933943,0.3472905516,15.579915475,0.3494900103,14.667463725,0.3472995711,0.0529096871,0.4942533812,-0.91582694,1.0216463143,0.0165297825,0.4911493859,-0.946123014,0.9791825789,,,,7
